CompName,closedate,OppStage,OppName,Desc,amount,prob
Camido,7/29/22,Commit,Implemented mission-critical monitoring,deploy frictionless e-markets,7733929,100
Babbleset,6/14/22,Commit,Virtual bottom-line collaboration,matrix enterprise networks,6823734,60
Yadel,3/20/22,Won,Distributed local task-force,engineer killer convergence,5429607,40
Tanoodle,9/18/22,Lost,Grass-roots user-facing attitude,transition leading-edge infomediaries,4687317,40
Realcube,12/19/22,Open,Enhanced mission-critical knowledge user,harness bricks-and-clicks schemas,8298175,60
Wikizz,1/19/23,Discovery,Pre-emptive reciprocal data-warehouse,disintermediate sticky platforms,3704023,100
Mydo,4/8/22,Lost,Customer-focused systemic forecast,unleash enterprise e-services,1741306,100
Quinu,11/15/22,Discovery,Function-based incremental help-desk,streamline one-to-one metrics,4577382,60
Jayo,3/9/22,Lost,Right-sized content-based monitoring,transform cutting-edge platforms,7327670,80
Skivee,11/1/22,Open,Up-sized needs-based middleware,deliver cross-platform platforms,9164930,80
Feedfish,1/14/22,Won,Vision-oriented fault-tolerant archive,e-enable dot-com models,1008269,100
Tambee,6/20/22,Lost,Seamless web-enabled algorithm,evolve cutting-edge portals,1975341,60
Pixope,8/9/22,Discovery,Adaptive 24/7 Graphic Interface,whiteboard sexy e-commerce,7039735,20
Dabfeed,9/3/22,Commit,Centralized explicit application,reintermediate global e-business,9135373,40
Quaxo,1/10/23,Open,Inverse multimedia database,reinvent clicks-and-mortar e-markets,5114180,80
Abatz,12/15/22,Open,Public-key background architecture,brand mission-critical systems,7320539,80
Dynabox,5/17/22,Commit,Pre-emptive client-server utilisation,optimize sticky content,2618526,20
Kazio,10/1/22,Open,Polarised multi-tasking website,reintermediate global functionalities,3727632,80
Twitterbeat,11/21/22,Commit,Advanced methodical array,extend out-of-the-box infomediaries,1137987,100
Twimm,4/6/22,Open,Polarised 5th generation open architecture,engage 24/365 infomediaries,994738,100
Buzzshare,3/11/23,Commit,Multi-lateral cohesive emulation,revolutionize compelling platforms,7077316,40
Fivespan,4/25/22,Discovery,Compatible contextually-based product,facilitate revolutionary supply-chains,8884699,40
Edgepulse,8/19/22,Upside,De-engineered full-range installation,exploit cutting-edge e-markets,8028621,40
Innojam,2/16/23,Commit,Persistent 6th generation leverage,transform back-end supply-chains,4199517,20
Zoomcast,8/9/22,Open,Organic demand-driven website,benchmark world-class eyeballs,3524668,80
Yambee,1/10/22,Lost,Seamless clear-thinking standardization,drive granular networks,3869670,60
Youspan,2/8/22,Commit,Business-focused discrete policy,enhance frictionless initiatives,5853351,80
Feedfire,6/3/22,Discovery,Grass-roots modular task-force,disintermediate out-of-the-box metrics,9304704,80
Gabspot,10/4/22,Commit,Managed upward-trending productivity,deploy B2B content,6452034,80
Flashdog,11/8/22,Discovery,Enhanced maximized capability,implement virtual architectures,5374881,80
Dabjam,1/4/23,Discovery,User-friendly coherent process improvement,benchmark frictionless infomediaries,5683233,20
Blogpad,3/27/22,Commit,Multi-channelled maximized approach,optimize B2B interfaces,45230,40
Shufflester,6/9/22,Discovery,Re-contextualized attitude-oriented function,transition viral e-services,7951780,100
Wikizz,12/24/22,Won,Business-focused dedicated portal,enable one-to-one methodologies,6092961,40
Meetz,11/1/22,Won,Synergistic asynchronous complexity,visualize 24/365 synergies,2335878,40
Wikizz,10/26/22,Open,Switchable logistical secured line,transition integrated niches,5778210,20
Skippad,1/30/22,Open,Enhanced tertiary internet solution,utilize open-source metrics,7940658,100
Zoombeat,1/15/22,Won,Team-oriented content-based open system,disintermediate magnetic eyeballs,788010,40
Photobean,5/12/22,Discovery,Optional logistical encryption,incubate world-class partnerships,2439868,60
Miboo,4/2/22,Won,Extended mission-critical moderator,aggregate clicks-and-mortar e-services,5459590,20
Podcat,4/8/22,Won,User-centric even-keeled leverage,disintermediate clicks-and-mortar models,8139716,80
Feedfire,2/6/22,Lost,Organized global knowledge user,implement vertical applications,5636587,40
Yodoo,3/6/23,Commit,Customer-focused maximized throughput,transition B2C e-commerce,2090244,80
Trudeo,12/18/22,Commit,Diverse encompassing frame,unleash B2C markets,6522855,40
Oyope,1/11/23,Discovery,Pre-emptive fresh-thinking database,evolve collaborative initiatives,931912,100
Eimbee,3/4/23,Won,Sharable zero defect structure,facilitate world-class methodologies,6261410,40
Wordtune,11/11/22,Upside,Polarised client-server interface,implement extensible methodologies,4345200,80
Brainlounge,3/3/23,Open,Horizontal methodical productivity,harness real-time interfaces,6202230,100
Geba,6/27/22,Discovery,Seamless user-facing utilisation,strategize compelling deliverables,9246132,40
Jamia,5/17/22,Lost,Reactive discrete framework,transform killer deliverables,7303572,40
Gigashots,4/3/22,Lost,User-friendly static interface,generate real-time technologies,4234613,100
Flipbug,7/23/22,Open,Switchable client-server budgetary management,transform value-added technologies,7674727,100
Livepath,3/27/22,Lost,Multi-channelled system-worthy leverage,deliver plug-and-play communities,9727165,80
Thoughtstorm,1/8/22,Open,Up-sized holistic process improvement,disintermediate enterprise technologies,8382935,100
Wordware,5/21/22,Won,Programmable high-level website,orchestrate distributed functionalities,8826317,40
Twimbo,8/2/22,Open,Sharable content-based monitoring,optimize leading-edge methodologies,5318552,20
Rhynoodle,3/12/22,Lost,Polarised logistical firmware,visualize extensible e-business,8944803,100
Meetz,3/9/22,Discovery,Reactive fault-tolerant adapter,e-enable distributed markets,9608600,40
Abata,12/27/22,Open,Intuitive didactic pricing structure,embrace e-business methodologies,8394261,100
Youspan,6/18/22,Discovery,Enhanced intangible application,cultivate dot-com e-commerce,9231727,80
Zava,1/12/22,Lost,User-friendly solution-oriented website,engage robust synergies,6731863,80
Eabox,4/20/22,Discovery,Re-contextualized client-server definition,harness global bandwidth,563126,20
Rooxo,9/8/22,Upside,Team-oriented hybrid solution,recontextualize interactive infrastructures,5886780,20
Fiveclub,9/29/22,Lost,Profound bandwidth-monitored framework,utilize next-generation action-items,9799819,40
Yakidoo,1/2/22,Lost,Reduced radical artificial intelligence,disintermediate cross-media markets,2058755,60
Babbleset,10/25/22,Commit,Adaptive global moratorium,brand revolutionary e-tailers,5964603,80
Browsecat,8/16/22,Discovery,Versatile static encryption,extend leading-edge e-business,5011183,60
Yakidoo,12/28/22,Commit,Fundamental content-based matrices,empower dynamic channels,1667437,80
Flipbug,12/4/22,Discovery,Programmable asynchronous infrastructure,evolve world-class architectures,4691392,100
Zoozzy,12/15/22,Discovery,Organized reciprocal collaboration,whiteboard enterprise relationships,4826055,40
Rhynoodle,2/2/23,Discovery,Re-engineered interactive projection,monetize bricks-and-clicks relationships,7904616,20
Oodoo,8/6/22,Upside,Innovative systematic architecture,facilitate sexy metrics,3834201,100
Topicware,12/3/22,Won,Synchronised 4th generation knowledge base,synergize dynamic synergies,7443699,60
Rooxo,3/1/22,Commit,Customer-focused exuding focus group,benchmark sticky systems,743984,60
Skippad,12/31/22,Open,Optimized asymmetric task-force,monetize efficient convergence,6448469,60
Thoughtbridge,11/9/22,Lost,Implemented multi-state info-mediaries,integrate distributed eyeballs,9027340,60
Browsedrive,1/9/23,Upside,Synergized client-server system engine,harness wireless vortals,151868,80
Brightbean,6/6/22,Discovery,Exclusive optimizing challenge,synergize next-generation ROI,8651574,40
Camimbo,3/1/22,Commit,Switchable interactive superstructure,innovate B2B content,318284,40
Roombo,6/15/22,Won,Integrated stable productivity,leverage transparent initiatives,741774,80
Oyope,2/17/23,Open,Cross-platform grid-enabled paradigm,evolve bleeding-edge eyeballs,7284999,100
Zoovu,1/30/22,Upside,Self-enabling actuating process improvement,streamline world-class experiences,6219882,80
Edgeblab,1/13/23,Lost,Enterprise-wide human-resource local area network,optimize enterprise initiatives,1504830,40
Skilith,1/9/23,Upside,Intuitive upward-trending process improvement,brand clicks-and-mortar infomediaries,1319754,100
Meejo,4/9/22,Discovery,Grass-roots intermediate alliance,incubate virtual e-markets,1350677,100
Kwilith,5/19/22,Open,Adaptive eco-centric approach,orchestrate best-of-breed partnerships,6935654,60
Meevee,5/8/22,Open,Reactive solution-oriented help-desk,synthesize collaborative bandwidth,8164118,100
Realpoint,10/1/22,Upside,Down-sized neutral initiative,drive intuitive e-services,1346637,20
Izio,7/9/22,Lost,Face to face uniform internet solution,mesh mission-critical deliverables,5631982,60
Fiveclub,7/3/22,Open,Synergized national framework,implement interactive platforms,7646675,100
Skiba,10/30/22,Lost,Ameliorated stable emulation,reinvent dot-com eyeballs,7369330,100
Voonyx,6/3/22,Open,Reactive intermediate moratorium,disintermediate enterprise web-readiness,4610442,20
Twitterbridge,2/23/22,Upside,Proactive uniform project,facilitate out-of-the-box models,1247018,40
Pixonyx,1/25/23,Discovery,Fundamental fault-tolerant success,extend frictionless niches,2054330,40
Rhynoodle,2/22/23,Won,Reactive mobile moderator,engage collaborative users,9543565,80
Tazz,3/11/22,Discovery,Multi-layered multi-tasking benchmark,scale killer e-business,3343523,80
Leexo,4/22/22,Won,Robust attitude-oriented access,leverage ubiquitous channels,2238578,80
Oozz,7/13/22,Upside,Quality-focused grid-enabled core,innovate value-added e-business,2051680,20
Dynazzy,12/21/22,Lost,Exclusive user-facing ability,evolve extensible mindshare,2566272,100
Oozz,12/31/22,Discovery,Proactive foreground leverage,productize global functionalities,868209,100
Blogtag,12/11/22,Lost,Pre-emptive system-worthy hardware,disintermediate collaborative users,2572115,100
Gigashots,1/30/23,Won,Universal leading edge groupware,incentivize holistic web services,3214786,40
Oyoba,1/21/23,Lost,Fully-configurable contextually-based product,grow B2B web services,2341523,20
Wordpedia,6/21/22,Commit,Fundamental asynchronous functionalities,innovate distributed users,2851444,100
Jatri,10/5/22,Lost,Customizable national firmware,brand sticky communities,6861244,40
Brightbean,1/22/22,Won,Virtual empowering matrix,innovate cutting-edge infomediaries,8338362,100
Trupe,11/8/22,Commit,Ergonomic content-based emulation,streamline rich portals,3516286,20
Flashset,2/14/22,Discovery,Cross-group upward-trending methodology,architect revolutionary technologies,1455269,40
Minyx,2/2/23,Open,Open-architected bandwidth-monitored artificial intelligence,synergize seamless architectures,7586485,60
Demizz,5/29/22,Upside,Fundamental interactive policy,implement leading-edge action-items,1730800,80
Brainbox,5/9/22,Lost,Realigned web-enabled open architecture,incubate sexy mindshare,3227651,80
Voomm,12/20/22,Upside,Exclusive regional collaboration,exploit customized markets,6487835,80
BlogXS,10/15/22,Commit,Devolved incremental hub,strategize end-to-end bandwidth,4255125,60
Wikizz,5/2/22,Upside,Polarised multi-state Graphical User Interface,envisioneer efficient ROI,1385210,100
Jayo,2/22/23,Discovery,Networked local architecture,engage viral platforms,6998029,40
Tavu,1/2/22,Lost,Distributed mission-critical emulation,repurpose B2C communities,3871788,100
Quinu,10/10/22,Upside,Monitored asynchronous alliance,redefine integrated partnerships,84595,40
Jabberbean,12/19/22,Commit,Cross-group uniform hierarchy,e-enable dynamic channels,7936902,80
Cogibox,1/20/22,Open,Automated maximized knowledge base,harness clicks-and-mortar convergence,3888914,20
Jabbertype,1/29/23,Won,Centralized high-level pricing structure,deliver B2B initiatives,3893067,60
Riffpedia,11/30/22,Lost,Optional systemic help-desk,monetize clicks-and-mortar vortals,8747238,80
Dabtype,5/11/22,Won,Polarised optimizing synergy,deliver transparent initiatives,8327897,20
Babbleblab,1/10/23,Won,Optional dedicated time-frame,extend scalable users,8841053,80
Edgepulse,1/19/22,Lost,Self-enabling regional paradigm,facilitate distributed ROI,6420646,60
Yacero,2/23/23,Commit,Multi-layered system-worthy process improvement,facilitate cross-platform bandwidth,8534553,60
Skajo,4/20/22,Commit,Automated fault-tolerant algorithm,exploit B2B applications,136147,20
Quimm,6/18/22,Won,Team-oriented responsive productivity,facilitate proactive ROI,8404093,20
Quinu,3/3/22,Lost,Multi-layered asynchronous model,disintermediate visionary relationships,6787267,60
Riffpedia,1/5/23,Lost,Fundamental multimedia function,mesh end-to-end mindshare,7777005,20
Realcube,2/17/23,Commit,Devolved logistical initiative,harness front-end action-items,7796123,80
Fivechat,8/13/22,Won,Reduced incremental encryption,disintermediate cross-media channels,3219022,60
Skinte,3/1/22,Commit,Synergized heuristic interface,grow efficient web-readiness,8210077,20
Browsebug,11/2/22,Lost,Triple-buffered fault-tolerant database,generate intuitive e-markets,1476937,80
Skipstorm,6/30/22,Commit,Innovative systematic access,repurpose leading-edge convergence,9511458,100
Layo,2/11/22,Commit,Up-sized even-keeled toolset,revolutionize real-time functionalities,5369053,40
Katz,4/5/22,Commit,Horizontal multi-state instruction set,strategize frictionless e-business,6779109,40
Riffwire,10/11/22,Discovery,Balanced demand-driven monitoring,implement plug-and-play networks,4502279,40
Zooxo,9/18/22,Discovery,Fundamental optimizing project,benchmark open-source web services,4833568,60
Talane,10/3/22,Commit,Synergistic systemic concept,empower viral functionalities,4130838,40
Mudo,3/15/23,Commit,Self-enabling asynchronous project,deploy enterprise paradigms,6586245,100
Voonder,8/5/22,Won,Innovative full-range interface,syndicate turn-key e-markets,8758387,80
Skyble,6/20/22,Lost,Ergonomic neutral adapter,engage B2C e-services,1803405,60
Devshare,8/11/22,Commit,Open-architected 5th generation interface,extend virtual e-markets,2128316,20
Gabspot,9/15/22,Commit,Pre-emptive multi-tasking analyzer,strategize seamless solutions,7455933,100
Twiyo,4/3/22,Upside,Enterprise-wide stable website,target global content,5359118,40
Fivechat,7/28/22,Commit,Organized real-time firmware,strategize back-end channels,6633996,100
Fivechat,1/25/23,Upside,Optimized attitude-oriented workforce,scale plug-and-play e-tailers,7461486,100
Mudo,9/27/22,Upside,User-friendly 4th generation internet solution,deploy seamless systems,154770,80
Edgetag,8/24/22,Upside,Profit-focused well-modulated parallelism,generate out-of-the-box models,2772347,20
Skilith,2/15/23,Upside,Cloned uniform capacity,whiteboard efficient solutions,5553957,40
Agivu,1/3/22,Lost,Fundamental coherent alliance,disintermediate transparent mindshare,2267983,20
Skinte,5/11/22,Won,Networked web-enabled support,brand world-class solutions,1085445,40
Jabbersphere,2/22/23,Discovery,De-engineered real-time emulation,incentivize out-of-the-box users,7500022,80
Babbleopia,8/6/22,Won,Innovative intangible collaboration,synthesize enterprise partnerships,3598028,80
Pixoboo,2/20/22,Lost,Customizable multimedia data-warehouse,monetize collaborative content,7097265,20
Yabox,1/20/23,Won,Self-enabling incremental ability,implement virtual users,5776404,80
Viva,3/10/22,Won,Realigned methodical strategy,monetize end-to-end bandwidth,2196184,60
Blogspan,7/21/22,Lost,Robust empowering concept,cultivate bricks-and-clicks experiences,9893510,60
Einti,5/17/22,Lost,Implemented stable paradigm,empower cutting-edge e-services,8724922,20
Gevee,5/24/22,Open,Realigned real-time moratorium,drive seamless web services,6604247,60
Aivee,1/14/23,Open,Reactive intermediate function,scale next-generation communities,8976995,60
Skiptube,6/8/22,Won,Robust dedicated project,redefine wireless e-services,5751758,20
Thoughtblab,11/28/22,Commit,Profound dedicated installation,orchestrate enterprise platforms,2672003,60
Zoomdog,7/7/22,Open,Compatible intangible functionalities,drive rich users,9276722,40
Blognation,4/7/22,Discovery,Right-sized next generation moderator,drive B2C web services,796686,40
Zoonder,12/1/22,Open,Integrated human-resource matrices,synergize robust e-markets,9678523,40
Agimba,3/25/22,Won,Integrated contextually-based pricing structure,iterate best-of-breed applications,8916957,20
Twimm,9/16/22,Lost,Horizontal global knowledge user,streamline customized e-commerce,7406162,40
Mynte,1/30/23,Discovery,Extended national moratorium,enhance impactful convergence,5968287,20
Twitternation,9/16/22,Discovery,Open-architected multi-state time-frame,leverage plug-and-play bandwidth,4596056,20
Youspan,10/14/22,Won,Reactive 6th generation Graphical User Interface,generate holistic e-tailers,5638486,80
Podcat,11/10/22,Won,Persevering demand-driven definition,repurpose sticky partnerships,2602374,80
Topiclounge,4/26/22,Discovery,Adaptive reciprocal orchestration,envisioneer ubiquitous experiences,8941981,100
Centidel,3/8/22,Commit,Total stable function,iterate collaborative markets,4718789,20
Reallinks,10/17/22,Upside,Synchronised global middleware,innovate synergistic portals,7033983,60
Riffwire,11/8/22,Commit,Total grid-enabled alliance,revolutionize proactive initiatives,3563604,40
Bubblebox,5/15/22,Upside,Up-sized executive orchestration,utilize sticky e-commerce,2775784,100
Jetwire,11/11/22,Commit,Diverse full-range customer loyalty,envisioneer innovative paradigms,5908566,40
Yakitri,1/14/23,Lost,Optimized systematic solution,monetize compelling models,8060236,60
Mynte,12/30/22,Open,Profit-focused tertiary flexibility,exploit seamless architectures,8533542,100
Viva,8/7/22,Won,Multi-lateral executive software,target one-to-one vortals,1677647,60
Trudeo,11/26/22,Lost,Multi-channelled solution-oriented implementation,revolutionize proactive bandwidth,977851,80
Katz,8/26/22,Upside,Open-source neutral infrastructure,whiteboard virtual paradigms,7927053,20
Twinder,10/18/22,Lost,Proactive foreground pricing structure,benchmark frictionless mindshare,3747702,40
Divape,10/15/22,Upside,Streamlined cohesive conglomeration,innovate enterprise e-tailers,5458251,80
Talane,2/15/23,Lost,Triple-buffered bandwidth-monitored time-frame,synergize open-source niches,8419824,80
Devify,4/1/22,Open,Virtual exuding orchestration,enhance proactive e-markets,8913439,60
Flipopia,4/2/22,Won,Business-focused intangible moderator,redefine transparent e-markets,9016410,20
Latz,1/21/23,Commit,Total system-worthy adapter,repurpose open-source niches,9904712,20
Plajo,3/6/22,Open,Sharable 6th generation adapter,productize distributed action-items,5329473,80
Yamia,9/7/22,Won,Open-source context-sensitive leverage,incubate extensible experiences,4335027,100
Cogilith,3/2/23,Lost,Realigned foreground system engine,unleash compelling action-items,8425182,20
Twimbo,1/20/22,Won,Horizontal object-oriented success,streamline viral interfaces,1225775,80
Bluejam,10/30/22,Commit,Streamlined zero administration moderator,engage B2B portals,6951705,40
Jabberbean,9/6/22,Commit,Pre-emptive holistic access,embrace leading-edge metrics,8675638,20
Livetube,8/25/22,Commit,Quality-focused intangible leverage,implement front-end synergies,7114609,80
Tagcat,5/21/22,Open,Ergonomic multi-state help-desk,aggregate synergistic e-tailers,4799398,100
Livetube,11/19/22,Commit,Visionary methodical groupware,grow clicks-and-mortar platforms,1485622,60
Ntags,10/28/22,Commit,Switchable mobile hub,iterate strategic deliverables,4305733,100
Photobean,5/30/22,Lost,Virtual disintermediate process improvement,visualize plug-and-play e-commerce,4840216,80
Aivee,12/10/22,Won,Decentralized context-sensitive artificial intelligence,streamline efficient eyeballs,4742331,20
Livetube,9/13/22,Open,Multi-channelled stable moratorium,reintermediate global infrastructures,1591214,20
Cogilith,4/28/22,Open,Cross-platform value-added emulation,monetize extensible synergies,2482862,20
Mydo,3/9/22,Won,Cross-group system-worthy function,transition sticky ROI,2470292,40
Linkbridge,5/10/22,Open,Implemented even-keeled parallelism,harness vertical supply-chains,6055089,100
Jabberbean,2/5/23,Discovery,Fully-configurable bottom-line throughput,engineer interactive eyeballs,2856173,20
Livepath,3/6/23,Commit,Versatile scalable budgetary management,productize virtual ROI,276974,60
Twitterlist,9/24/22,Lost,Programmable reciprocal customer loyalty,iterate distributed web services,8319071,60
Tazzy,5/22/22,Upside,Ergonomic demand-driven hardware,productize 24/365 technologies,6519862,80
Shuffletag,9/18/22,Won,Organized incremental system engine,reinvent clicks-and-mortar relationships,2128395,40
Mydeo,8/17/22,Open,Operative tertiary open architecture,aggregate enterprise initiatives,7068915,20
Innotype,12/14/22,Lost,Inverse encompassing solution,benchmark front-end deliverables,2276344,100
Trudoo,12/25/22,Won,Future-proofed 24 hour structure,synthesize bricks-and-clicks deliverables,4920913,40
Yakidoo,5/4/22,Lost,Programmable bi-directional Graphical User Interface,facilitate out-of-the-box niches,6737613,20
Youbridge,8/25/22,Commit,Operative logistical local area network,scale 24/7 interfaces,8667371,60
Skimia,5/29/22,Open,Assimilated analyzing infrastructure,recontextualize transparent supply-chains,5778396,80
Babbleopia,3/19/22,Discovery,Multi-layered cohesive support,integrate transparent networks,2329563,100
Skyba,12/9/22,Won,Face to face real-time orchestration,embrace real-time paradigms,8966038,60
Cogidoo,1/10/23,Upside,User-friendly stable standardization,whiteboard magnetic bandwidth,4079221,60
Gabvine,2/27/22,Commit,Polarised client-server Graphic Interface,envisioneer best-of-breed mindshare,894998,80
Feedfish,9/24/22,Lost,Implemented local utilisation,innovate impactful bandwidth,6084776,40
Aivee,9/23/22,Upside,Multi-tiered intangible migration,envisioneer plug-and-play niches,1755814,20
Feedbug,10/22/22,Lost,Streamlined bi-directional emulation,incubate viral e-business,6133401,100
Topdrive,11/29/22,Upside,Virtual homogeneous capacity,integrate 24/365 interfaces,3386550,40
Brightdog,12/6/22,Upside,Decentralized global middleware,incubate collaborative channels,5163418,80
Reallinks,11/6/22,Open,Compatible holistic archive,target mission-critical solutions,6149718,80
Jabberbean,8/27/22,Discovery,Synchronised dynamic process improvement,grow open-source schemas,4068678,20
Wikizz,8/17/22,Discovery,Multi-tiered intermediate open system,redefine B2B schemas,4436317,80
Kare,9/3/22,Lost,Self-enabling intermediate encoding,aggregate value-added metrics,8660713,20
Devify,6/9/22,Open,Sharable context-sensitive alliance,reinvent 24/365 action-items,5721231,40
Meembee,8/10/22,Upside,Right-sized multi-state standardization,aggregate holistic e-tailers,6358977,100
Devbug,1/1/23,Discovery,User-friendly next generation orchestration,streamline wireless e-commerce,9851046,20
Jabberstorm,2/24/22,Discovery,Integrated 6th generation capacity,generate best-of-breed infrastructures,1507557,80
Thoughtworks,2/16/23,Discovery,Distributed cohesive alliance,streamline cross-media channels,2535094,40
Aivee,2/4/22,Won,Extended bifurcated utilisation,benchmark visionary portals,2087905,20
Trudeo,1/17/23,Discovery,Multi-layered user-facing concept,grow compelling paradigms,3400511,20
Edgepulse,5/12/22,Open,Polarised stable infrastructure,incubate sexy architectures,9725693,40
Tagopia,2/21/22,Discovery,Balanced hybrid productivity,incentivize cross-media web services,132739,20
Quatz,1/27/22,Lost,Synchronised holistic neural-net,iterate synergistic mindshare,520038,100
Devpoint,12/8/22,Discovery,Multi-layered contextually-based orchestration,implement plug-and-play bandwidth,8648745,20
Divape,3/21/22,Upside,Cross-group 3rd generation orchestration,implement sexy e-commerce,7554048,80
Tazzy,1/2/23,Won,Business-focused intermediate definition,grow bricks-and-clicks users,4308035,100
Shufflester,5/21/22,Won,Customizable full-range data-warehouse,whiteboard bricks-and-clicks models,7863138,100
Trudoo,6/18/22,Commit,Switchable 24/7 methodology,recontextualize distributed metrics,6992726,60
Mynte,11/22/22,Open,Polarised next generation definition,enhance back-end solutions,7315686,40
Cogidoo,8/28/22,Commit,Synergized foreground hierarchy,deploy user-centric vortals,5037344,40
Dabtype,5/17/22,Discovery,Stand-alone interactive synergy,reintermediate holistic e-markets,7799248,60
Skibox,1/27/23,Discovery,Operative systematic capacity,harness granular action-items,4127871,20
Mymm,1/17/23,Lost,Enhanced tertiary hierarchy,e-enable value-added e-tailers,2658862,80
Youopia,1/24/22,Won,Optional optimal artificial intelligence,recontextualize collaborative solutions,1035599,80
Dabvine,5/10/22,Commit,Pre-emptive interactive concept,generate front-end e-markets,5901594,100
Shufflester,8/25/22,Discovery,Upgradable eco-centric monitoring,syndicate transparent mindshare,2830765,20
Wordware,1/3/22,Won,Re-contextualized zero tolerance database,embrace out-of-the-box supply-chains,44559,20
Topicblab,1/23/23,Open,Implemented coherent flexibility,disintermediate back-end partnerships,6500911,40
Fatz,5/8/22,Lost,Versatile multi-tasking attitude,iterate turn-key solutions,424272,20
Wordify,1/28/22,Lost,Multi-lateral client-driven pricing structure,facilitate interactive web services,5603035,80
Yabox,2/10/23,Lost,Inverse upward-trending service-desk,engineer clicks-and-mortar initiatives,154439,40
Twitternation,2/21/23,Discovery,Down-sized intermediate encryption,syndicate customized partnerships,9785458,80
Blogspan,3/16/22,Won,Quality-focused fault-tolerant complexity,synergize bleeding-edge systems,3524447,100
Geba,3/22/22,Discovery,Multi-channelled heuristic adapter,leverage efficient metrics,9719723,100
Vimbo,9/21/22,Lost,Business-focused zero administration monitoring,incentivize killer e-services,3961337,100
Topdrive,5/31/22,Upside,Grass-roots solution-oriented process improvement,leverage cross-platform e-tailers,4347718,60
Tagpad,3/3/23,Lost,Robust uniform frame,evolve user-centric interfaces,6936838,20
Viva,8/8/22,Open,Total tertiary project,extend intuitive action-items,6540217,20
Rhyzio,4/24/22,Open,Organic actuating core,streamline back-end interfaces,2290886,40
Browseblab,4/28/22,Lost,Synchronised neutral toolset,synergize cross-media content,2609595,80
Jayo,9/21/22,Lost,Profound national budgetary management,aggregate wireless supply-chains,2359974,100
Babbleopia,10/27/22,Commit,Front-line foreground website,e-enable killer convergence,549813,40
Skaboo,7/9/22,Won,Open-source responsive superstructure,iterate user-centric synergies,9755368,60
Eayo,1/6/22,Won,Cross-platform dedicated software,engage rich methodologies,6139904,40
Eidel,1/25/22,Lost,Configurable full-range projection,cultivate strategic deliverables,1147484,20
Oyoloo,3/10/23,Upside,Realigned empowering collaboration,iterate cross-platform markets,2844412,100
Babblestorm,9/18/22,Commit,Synergized system-worthy migration,maximize plug-and-play markets,9404296,80
Rooxo,2/15/23,Lost,Re-engineered next generation moratorium,engineer next-generation schemas,1705041,100
Devpulse,7/6/22,Won,Implemented eco-centric software,grow plug-and-play partnerships,8360090,40
Podcat,2/3/22,Discovery,Self-enabling directional intranet,transition real-time ROI,6100644,100
Skidoo,2/2/22,Open,Ergonomic bifurcated success,engage interactive markets,2031674,60
Edgewire,4/26/22,Commit,Function-based human-resource core,drive visionary solutions,298026,20
Twimm,2/19/22,Discovery,Centralized contextually-based flexibility,reinvent 24/365 mindshare,698518,40
Fatz,2/11/23,Open,Function-based empowering workforce,scale mission-critical functionalities,9549231,20
Brainverse,7/3/22,Commit,Up-sized 24/7 middleware,strategize virtual content,3025124,80
Kazio,11/5/22,Lost,Multi-lateral dynamic hardware,reinvent robust paradigms,3414385,80
Mynte,7/13/22,Won,Progressive even-keeled parallelism,deliver revolutionary platforms,2572208,40
Gabtype,1/6/22,Upside,Reverse-engineered even-keeled success,orchestrate synergistic models,3150746,100
Quinu,8/12/22,Commit,Universal attitude-oriented middleware,optimize next-generation partnerships,4329602,60
Meedoo,12/4/22,Discovery,Virtual web-enabled circuit,harness B2B applications,8048637,60
Devpoint,9/21/22,Open,Multi-channelled well-modulated neural-net,facilitate next-generation functionalities,7180728,20
Devify,6/30/22,Won,Triple-buffered 24 hour challenge,architect one-to-one content,1352656,40
Yodel,11/22/22,Upside,Exclusive asynchronous hub,orchestrate wireless e-commerce,15098,40
Riffpedia,1/16/22,Commit,Advanced intermediate framework,optimize efficient action-items,1104893,40
Feednation,2/27/23,Lost,Front-line uniform contingency,monetize transparent synergies,3397991,100
Shuffletag,10/22/22,Commit,Self-enabling optimal framework,expedite bleeding-edge eyeballs,6494306,40
Camido,10/22/22,Upside,Quality-focused human-resource interface,repurpose customized initiatives,8010490,40
Minyx,4/14/22,Won,Secured methodical moratorium,scale frictionless functionalities,2383370,80
Voonyx,12/20/22,Won,Seamless encompassing circuit,reinvent sticky systems,3738638,80
Tagfeed,12/21/22,Commit,Reverse-engineered didactic framework,integrate open-source deliverables,1034775,100
Gigazoom,2/23/22,Upside,Customer-focused incremental structure,orchestrate leading-edge action-items,7106323,40
Twimbo,6/30/22,Upside,Managed real-time orchestration,incentivize viral paradigms,9421853,40
Skinte,1/27/22,Upside,Switchable local focus group,whiteboard sticky models,5332490,20
JumpXS,10/14/22,Discovery,Assimilated directional matrices,productize cross-platform partnerships,8909273,60
Mudo,7/12/22,Lost,Reverse-engineered mission-critical pricing structure,aggregate cross-media channels,9354107,40
Gabtune,9/5/22,Discovery,Progressive content-based product,envisioneer best-of-breed e-services,9415231,20
Topiczoom,1/22/23,Discovery,Total upward-trending structure,unleash integrated markets,1762804,80
Brightbean,3/18/22,Upside,Implemented asymmetric projection,strategize intuitive infomediaries,3538719,80
Quire,12/12/22,Upside,Inverse web-enabled hardware,engineer enterprise convergence,4998292,20
Gabtype,3/27/22,Commit,Ergonomic tangible challenge,evolve 24/365 platforms,4772249,20
